sample_id,input,expected_verdict,expected_signal
friendly_it_support,Hey! This is the IT team. We are doing an upgrade and need you to confirm your account. Just click the link: https://portal-it.example.com/confirm,suspicious,contains_link,Friendly-tone phishing without classic urgency keywords. Uses social trust instead of fear. Heuristic likely misses the scam_phrase signal.
cell_carrier_spoof,Your wireless bill is ready. View and pay online: https://payment-portal.example.com,suspicious,contains_link,"Legitimate-looking carrier notification. No scam phrases, urgency, or threats. Only a link. Heuristic likely misses this entirely."
hijacked_thread_bec,"Following up on our call earlier. Please approve this wire for $2,500. Link: https://banking-portal.example.com/approve",suspicious,contains_link,Business email compromise style. No scam keywords. Mimics normal business communication. Heuristic misses.
voice_lure_vishing,Your bank account has been flagged. Please call 800-555-0199 immediately to verify your identity. Reference code: 48291,suspicious,"scam_phrase,sensitive_information_request,code_like_number",Voice phishing lure with phone number. No link. 'bank'+'verify'+'code' triggers. Score check needed.
delivery_tracking_normal,Your package from Amazon is out for delivery today. Track it at: https://bit.ly/track-package,suspicious,shortened_link,Normal-looking delivery notification with shortened link. Contains 'today' not in urgency list. 'Amazon' not in scam terms. Shortened link only trigger.
tax_document_w2_phish,Your 2025 tax document W-2 is now available. Access your secure portal: https://taxdocs.example.com/login,suspicious,contains_link,W-2 tax phishing. No scam_phrase triggers (no keywords). Only contains_link fires. Heuristic severely undersignals.
charity_donation_lure,Donate today to help children in need. Your contribution of $10 makes a difference: https://charity-giving.example.com,review,contains_link,Fake charity donation. No reward/urgency/scam keywords. Emotional manipulation only. Link is sole trigger.
meeting_invite_spearphish,Your meeting with the board has been scheduled for tomorrow at 10 AM. Please confirm your attendance: https://meeting-confirm.example.com,suspicious,contains_link,Spear-phishing as meeting invite. 'confirm' not in scam terms. No urgency or threat. Only link trigger.
job_offer_scam,Congratulations! You have been selected for the position. Submit your personal details to begin onboarding: https://hr-portal.example.com/onboard,suspicious,contains_link,Fake job offer scam. 'Congratulations' not in REWARD_TERMS. No urgency or threat. Link only trigger.
fake_reset_password,"Your password expires in 24 hours. To keep using your account, visit: http://password-reset.example.com",suspicious,"scam_phrase,sensitive_information_request,account_restriction_threat,contains_link",Password reset phishing. 'password'+'account'+'expires' triggers multiple signals. Check score level.
no_link_sms_phish,Bank Alert: Unusual activity detected. Reply YES to confirm or call 800-555-1000 to speak with fraud department.,suspicious,scam_phrase,"SMS-style bank phish without URL. 'bank'+'alert' triggers scam_phrase. No link, no code. Heuristic may undersignal."
invoice_attachment_lure,Attached is your invoice #48291 for $350. Please review and process payment. Open the attachment for details.,review,,"Invoice scam with attachment lure. No link, no scam keywords. 'invoice' not in any keyword list. Heuristic will mark as safe - a blind spot."
tech_support_popup,WARNING: Your computer is infected with 5 viruses. Call Microsoft Support at 800-555-0199 immediately. Do not close this message.,suspicious,scam_phrase,Tech support scam popup. 'microsoft'+'warning' triggers scam_phrase. No link. '5' might trigger code-like number.
romance_scam_opening,"Hi, I saw your profile and I think you are really beautiful. I am an engineer working overseas. Can we chat on WhatsApp? My number is +1-555-0199.",review,,"Romance scam opener. No phishing keywords, no links, no urgency. Completely invisible to heuristic. Social engineering blind spot."
credential_harvesting_doc,Please review the updated employee handbook and sign the acknowledgment form: https://hr-docs.example.com/handbook-2025,suspicious,contains_link,Credential harvesting via fake document. 'sign'+'acknowledgment' not in keyword lists. Only link trigger fires.
crypto_investment_scam,LIMITED OFFER: Invest in Bitcoin today and get 200% returns guaranteed. Click here: https://crypto-profit.example.com,suspicious,"scam_phrase,contains_link",Crypto investment scam. 'limited'+'guaranteed' not in current reward/urgency lists. Needs keyword expansion.
fake_security_alert_sms,Your Apple ID has been locked for security reasons. Verify now: https://apple-id-verify.example.com,suspicious,"scam_phrase,contains_link",SMS Apple ID lockout phish. 'locked'+'Apple'+'verify' triggers scam_phrase. Check signals.
survey_reward_scam,Take this 30-second survey and win a free iPhone. Your opinion matters: https://survey-rewards.example.com,suspicious,"reward_lure,contains_link",Survey reward scam. 'win'+'free'+'iPhone' triggers reward_lure. Link adds to score.
polite_urgent_followup,Gentle reminder: we noticed an issue with your recent payment. Could you please verify your card details when you have a moment? https://billing-help.example.com,suspicious,contains_link,Polite-urgent billing phish. 'payment'+'verify'+'card' - 'card' not in SENSITIVE_TERMS. Tone suppression: politeness may lower perceived threat. Only link trigger likely.
fake_customer_support,We are here to help you with your recent order. Your refund of $45.99 is pending. Confirm your bank details here: https://support-refund.example.com,suspicious,"reward_lure,contains_link",Fake customer support with refund lure. 'refund' triggers reward_lure. 'confirm'+'bank' may trigger scam_phrase. Check score.
