sample_id,input,expected_verdict,expected_signal
untrusted_cert_on_https_phish,https://secure-bankverif.com/account/verify,suspicious,"brand_impersonation,phishing_keywords",HTTPS phishing domain with keywords but no insecure_http signal. Heuristic may undersignal this because HTTPS suppresses the insecure_http flag.
idn_homoglyph_apple,https://www.xn--pple-43da.com/account,suspicious,"brand_lookalike_domain,phishing_keywords",IDN homoglyph attack: xn--pple-43da decodes to appe with accent. Current lookalike fails for Unicode chars. Punycode version may still trigger but depends on domain matching.
keyword_hyphen_obfuscation,https://example.com/log-in-ver-ify-ac-count,suspicious,"phishing_keywords,multiple_phishing_keywords","Keywords broken with hyphens in path (log-in, ver-ify, ac-count). Substrings may still trigger keyword detection but weakened."
form_hosting_phishing,https://docs.google.com/forms/d/e/1FAIpQLS/phish,suspicious,phishing_keywords,Legitimate platform Google Forms hosting phishing. No domain signal fires. Only path hints at risk.
zero_keyword_shortener_phish,http://bit.ly/2xKpQ9f,suspicious,"link_shortener,insecure_http",Shortener + HTTP no phishing keywords in URL. Should be flagged but depends solely on shortener+HTTP combo for scoring.
data_uri_phish,http://1.2.3.4/verify?account=locked,suspicious,"ip_address_destination,phishing_keywords",IP address + phishing keywords. Classic phish pattern.
legitimate_domain_redirect,https://redirect.example.com/?url=https://evil-site.com,review,,Open redirect on legitimate domain. No signal fires. Path has redirect/evil but none in SUSPICIOUS_KEYWORDS.
suspicious_tld_phish,https://secure-account.xyz/verify,suspicious,phishing_keywords,Unusual TLD .xyz with phishing keyword. No brand impersonation. Heuristic may undervalue this.
unusual_port_phish,http://secure-login.example.com:8080/verify,suspicious,"insecure_http,phishing_keywords,http_with_phishing_terms",Non-standard port 8080 + HTTP + phishing keywords. Used to evade blocklists.
double_extension_trick,https://invoice-update.pdf.example.com/login,suspicious,"phishing_keywords,many_subdomains",Double-extension trick: .pdf in subdomain to look like attachment. 4 labels triggers many_subdomains.
normal_lookalike_shortener,http://bit.ly/account-secure-verify,suspicious,"link_shortener,insecure_http,http_with_phishing_terms",Shortener + HTTP + 2+ phishing terms. Should trigger multiple high-risk signals.
path_only_keywords_no_host,https://safe-domain.example/secure-login-verify-account-update,suspicious,"phishing_keywords,multiple_phishing_keywords",Safe-looking domain with heavily keyword-loaded path. Only phishing_keywords + multiple fires. No domain-level signals.
numbers_in_domain_bank,https://bank-secure4731.com/login,suspicious,phishing_keywords,Numbers in domain near 'bank' keyword. Not caught by brand lookalike since 'bank' is a keyword not a brand. May be undervalued.
subdomain_brand_mimic_microsoft,https://microsoft.support-id3721.example.com/login,suspicious,"brand_impersonation,phishing_keywords,many_subdomains",Microsoft impersonation with random suffix in subdomain. Should trigger brand_impersonation.
fake_paypal_path_query,https://example.com/paypal/login?secure=verify&account=confirm,suspicious,"phishing_keywords,multiple_phishing_keywords","PayPal mentioned in path/query on non-PayPal domain. 'paypal' is a brand but NOT in hostname, so brand_impersonation won't fire. Only keyword detection catches this."
punycode_mixed_script,https://www.xn--80ak6aa92e.com/verify,suspicious,phishing_keywords,Punycode domain with Cyrillic script (looks like 'apple.com' in Cyrillic). Heuristic won't catch the homoglyph without Unicode normalization.
zero_signal_shady_domain,https://cyberlureai-hack.example.org/login,review,phishing_keywords,Domain hints at malicious intent but no explicit phishing signals beyond login keyword. Only one keyword. Score might be too low.
excessive_query_params,https://example.com/login?user=admin&pass=test&redirect=https://evil.com&token=abc123&session=xyz,suspicious,phishing_keywords,Excessive query parameters with suspicious values. Only 'login' as keyword. Heuristic ignores query parameter content.
base64_encoded_phish,https://example.com/redirect?d=aHR0cHM6Ly9ldmlsLXNpdGUuY29t,review,,Base64-encoded redirect target in URL parameter. No phishing keywords. Heuristic has zero visibility into encoded content.
fake_ftp_phish,http://secure-login.example.com/verify?protocol=ftp,suspicious,phishing_keywords,Non-HTTP protocol would be suspicious but HttpUrl restricts schemes. Testing with HTTP instead. Only keyword detection fires.
