sample_id,input,expected_verdict,expected_signal
url_safe_0000,http://www.volny.cz/nomida/picture,likely_safe,
url_safe_0001,http://www.ranches.org/corsino.html,likely_safe,
url_phish_0002,https://meta-id90014.agency-manager-support.com/,suspicious,
url_safe_0003,http://homepage.eircom.net/~mullaghcouriers/,likely_safe,
url_safe_0004,http://www.ewaldgiebel.de/eng/home.htm,likely_safe,
url_phish_0005,http://gcrc.org.uk/mail/672bfcaa73dbfe28bff5bc77604084fa/6a318ba5a1c01f11a2fb5711c3a9cdc9/,suspicious,
url_safe_0006,http://www.compositesworld.com/glossary,likely_safe,
url_phish_0007,http://'9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?attachauth=ANoY7co3hbU1iqMg9hQI-35WPjhRUlcc2Zu9KeTPxErQJKK5z4weuxpI-B-tS-d9BMi_5Ok2oST5JWN0iRbgjVAMT6OIHbI2z7GCRxha5bXUJAB9PiI98x0XU7d_Nuo9Mtk5cgo_3NkUAe-p8RmJPRcOwXnlZFgp8Ueomh1gAXZFKM1hN9I2lv4YwJq0QXm13CJcvSVWvTkqw5cpHvjbrXstDaZJlI-11g\%3D\%3D&amp;attredirects=1',suspicious,
url_phish_0008,http://www.thenatureofmovement.com/wp-wordpress.php,suspicious,
url_phish_0009,http://www.fifthseasongardening.com/digit/hot/msn_business_page&amp;.srcproduct=93433.html,suspicious,
url_safe_0010,http://www.thebestportals.com/Default.aspx?tabid=2470,likely_safe,
url_safe_0011,http://www.cottoninc.com/CottonMarketComments/,likely_safe,
url_safe_0012,http://www.ntcresearch.org/pdf-rpts/AnRp02/F01-GT06-A2.pdf,likely_safe,
url_safe_0013,http://www.lccbank.com/index2.html,likely_safe,
url_safe_0014,http://www.hardmilesmusic.com/index.shtml,likely_safe,
url_phish_0015,http://www.lukkop.pl//wp-content/plugins/hlbaccess/hl.htm,suspicious,
url_phish_0016,http://webscr.co.uk.token-7sx1287wby1872xsy812.cmd-home.com/Confirm.php?login=_cmd-login&cookie=8967c7685a9087b5b964b07152d234b1270,suspicious,
url_phish_0017,http://epsiloninfotech.com/sreenname/index.htm,suspicious,
url_phish_0018,http://us.battle.net.rrus.asia/login/en/?ref=us.battle.net/d3/en/index&amp;app=com-d3,suspicious,
url_phish_0019,http://aktifkannx-dnacicil.fascist.biz.id/,suspicious,
url_safe_0020,http://www.aim4a.com/tutors.php,likely_safe,
url_safe_0021,http://hme-business.com/Home.aspx,likely_safe,
