sample_id,input,expected_verdict,expected_signal
sms_safe_0000,I can't describe how lucky you are that I'm actually awake by noon,likely_safe,
sms_phish_0001,"Final Chance! Claim ur å£150 worth of discount vouchers today! Text YES to 85023 now! SavaMob, member offers mobile! T Cs SavaMob POBOX84, M263UZ. å£3.00 Subs 16",suspicious,
sms_phish_0002,"We know someone who you know that fancies you. Call 09058097218 to find out who. POBox 6, LS15HB 150p",suspicious,
sms_safe_0003,Ha ha cool cool chikku chikku:-):-DB-),likely_safe,
sms_phish_0004,RECPT 1/3. You have ordered a Ringtone. Your order is being processed...,suspicious,
sms_safe_0005,"Probably gonna be here for a while, see you later tonight &lt;)",likely_safe,
sms_phish_0006,"Free msg. Sorry, a service you ordered from 81303 could not be delivered as you do not have sufficient credit. Please top up to receive the service.",suspicious,
sms_phish_0007,"Welcome to UK-mobile-date this msg is FREE giving you free calling to 08719839835. Future mgs billed at 150p daily. To cancel send \go stop\"" to 89123""",suspicious,
sms_safe_0008,So i'm doing a list of buyers.,likely_safe,
sms_phish_0009,"Urgent! Please call 09066612661 from your landline, your complimentary 4* Lux Costa Del Sol holiday or å£1000 CASH await collection. ppm 150 SAE T&Cs James 28, EH74RR",suspicious,
sms_safe_0010,Congrats. That's great. I wanted to tell you not to tell me your score cos it might make me relax. But its motivating me so thanks for sharing,likely_safe,
sms_phish_0011,"3 FREE TAROT TEXTS! Find out about your love life now! TRY 3 FOR FREE! Text CHANCE to 85555 16 only! After 3 Free, Msgs å£1.50 each",suspicious,
sms_safe_0012,2 laptop... I noe infra but too slow lar... I wan fast one,likely_safe,
sms_safe_0013,"Yeah, that's fine! It's å£6 to get in, is that ok?",likely_safe,
sms_safe_0014,Yup... I havent been there before... You want to go for the yoga? I can call up to book,likely_safe,
sms_safe_0015,it's really getting me down just hanging around.,likely_safe,
sms_safe_0016,Sac needs to carry on:),likely_safe,
sms_safe_0017,2mro i am not coming to gym machan. Goodnight.,likely_safe,
sms_phish_0018,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,suspicious,
sms_phish_0019,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203652 Identifier Code: 42810 Expires 29/10/0,suspicious,
sms_phish_0020,No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,suspicious,
sms_phish_0021,"Wan2 win a Meet+Greet with Westlife 4 U or a m8? They are currently on what tour? 1)Unbreakable, 2)Untamed, 3)Unkempt. Text 1,2 or 3 to 83049. Cost 50p +std text",suspicious,
sms_phish_0022,Congratulations ur awarded either å£500 of CD gift vouchers & Free entry 2 our å£100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com 1 win150ppmx3age16,suspicious,
sms_safe_0023,Darren was saying dat if u meeting da ge den we dun meet 4 dinner. Cos later u leave xy will feel awkward. Den u meet him 4 lunch lor.,likely_safe,
sms_safe_0024,Ok... But bag again..,likely_safe,
sms_safe_0025,No. Yes please. Been swimming?,likely_safe,
sms_safe_0026,Go where n buy? Juz buy when we get there lar.,likely_safe,
sms_phish_0027,FREE entry into our å£250 weekly comp just send the word ENTER to 84128 NOW. 18 T&C www.textcomp.com cust care 08712405020.,suspicious,
sms_phish_0028,We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT free camcorder Reply or call now 08000930705 Del Thurs,suspicious,
sms_phish_0029,Bored housewives! Chat n date now! 0871750.77.11! BT-national rate 10p/min only from landlines!,suspicious,
sms_safe_0030,Hey next sun 1030 there's a basic yoga course... at bugis... We can go for that... Pilates intro next sat.... Tell me what time you r free,likely_safe,
sms_phish_0031,"Text82228>> Get more ringtones, logos and games from www.txt82228.com. Questions: info@txt82228.co.uk",suspicious,
sms_phish_0032,Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,suspicious,
sms_phish_0033,UR awarded a City Break and could WIN a å£200 Summer Shopping spree every WK. Txt STORE to 88039.SkilGme.TsCs087147403231Winawk!Age16+å£1.50perWKsub,suspicious,
sms_phish_0034,"Shop till u Drop, IS IT YOU, either 10K, 5K, å£500 Cash or å£100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary",suspicious,
sms_phish_0035,Hard LIVE 121 chat just 60p/min. Choose your girl and connect LIVE. Call 09094646899 now! Cheap Chat UK's biggest live service. VU BCM1896WC1N3XX,suspicious,
sms_phish_0036,"You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000878. PoBox45W2TG150P",suspicious,
sms_safe_0037,Can u look 4 me in da lib i got stuff havent finish yet.,likely_safe,
sms_phish_0038,"Urgent! call 09061749602 from Landline. Your complimentary 4* Tenerife Holiday or å£10,000 cash await collection SAE T&Cs BOX 528 HP20 1YF 150ppm 18+",suspicious,
sms_phish_0039,URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050001295 from land line. Claim A21. Valid 12hrs only,suspicious,
sms_phish_0040,"Hi, this is Mandy Sullivan calling from HOTMIX FM...you are chosen to receive å£5000.00 in our Easter Prize draw.....Please telephone 09041940223 to claim before 29/03/05 or your prize will be transferred to someone else....",suspicious,
sms_phish_0041,"URGENT! Your mobile No 07xxxxxxxxx won a å£2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP! BOX97N7QP, 150PPM",suspicious,
sms_safe_0042,What pa tell me.. I went to bath:-),likely_safe,
sms_phish_0043,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,suspicious,
sms_safe_0044,Mm so you asked me not to call radio,likely_safe,
sms_phish_0045,"Loan for any purpose å£500 - å£75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'",suspicious,
sms_safe_0046,Crucify is c not s. You should have told me earlier.,likely_safe,
sms_phish_0047,PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04,suspicious,
sms_phish_0048,thesmszone.com lets you send free anonymous and masked messages..im sending this message from there..do you see the potential for abuse???,suspicious,
sms_safe_0049,Realy sorry-i don't recognise this number and am now confused :) who r u please?!,likely_safe,
sms_safe_0050,Pls i wont belive god.not only jesus.,likely_safe,
sms_phish_0051,Email AlertFrom: Jeri StewartSize: 2KBSubject: Low-cost prescripiton drvgsTo listen to email call 123,suspicious,
sms_phish_0052,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,suspicious,
sms_safe_0053,"I'll get there at 3, unless you guys want me to come some time sooner",likely_safe,
sms_safe_0054,Yeah whatever lol,likely_safe,
sms_phish_0055,"Congratulations! Thanks to a good friend U have WON the å£2,000 Xmas prize. 2 claim is easy, just call 08718726971 NOW! Only 10p per minute. BT-national-rate.",suspicious,
sms_phish_0056,"You have been specially selected to receive a \3000 award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo""",suspicious,
sms_phish_0057,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,suspicious,
sms_phish_0058,Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx,suspicious,
sms_phish_0059,"YOU VE WON! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins",suspicious,
sms_phish_0060,5p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.,suspicious,
sms_phish_0061,This is the 2nd time we have tried to contact u. U have won the å£1450 prize to claim just call 09053750005 b4 310303. T&Cs/stop SMS 08718725756. 140ppm,suspicious,
sms_phish_0062,Do you want a new Video phone? 600 anytime any network mins 400 Inclusive Video calls AND downloads 5 per week Free delTOMORROW call 08002888812 or reply NOW,suspicious,
sms_safe_0063,I have no idea where you are,likely_safe,
sms_phish_0064,SplashMobile: Choose from 1000s of gr8 tones each wk! This is a subscrition service with weekly tones costing 300p. U have one credit - kick back and ENJOY,suspicious,
sms_safe_0065,Lolnice. I went from a fish to ..water.?,likely_safe,
sms_phish_0066,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,suspicious,
sms_safe_0067,Dad went out oredi...,likely_safe,
sms_safe_0068,Bugis oso near wat...,likely_safe,
sms_safe_0069,Lol that's different. I don't go trying to find every real life photo you ever took.,likely_safe,
sms_safe_0070,"No, I was trying it all weekend ;V",likely_safe,
sms_safe_0071,ÌÏ wait 4 me in sch i finish ard 5..,likely_safe,
sms_phish_0072,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",suspicious,
sms_safe_0073,LOL ... Have you made plans for new years?,likely_safe,
sms_safe_0074,Wif my family booking tour package.,likely_safe,
sms_safe_0075,Ok...,likely_safe,
sms_safe_0076,"Yes, princess. Toledo.",likely_safe,
sms_phish_0077,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,suspicious,
sms_safe_0078,Sending you greetings of joy and happiness. Do have a gr8 evening,likely_safe,
sms_safe_0079,That's ok. I popped in to ask bout something and she said you'd been in. Are you around tonght wen this girl comes?,likely_safe,
sms_safe_0080,"A famous quote : when you develop the ability to listen to 'anything' unconditionally without losing your temper or self confidence, it means you are ......... 'MARRIED'",likely_safe,
sms_phish_0081,Reply to win å£100 weekly! Where will the 2006 FIFA World Cup be held? Send STOP to 87239 to end service,suspicious,
sms_safe_0082,"Ha ha nan yalrigu heltini..Iyo kothi chikku, u shared many things wit me..so far i didn't told any body and even uttered a word abt u.. If ur trusting me so much how can i tell these to others.. Plz nxt time dont use those words to me..ok, chikku:-);-)B-)",likely_safe,
sms_safe_0083,Near kalainar tv office.thenampet,likely_safe,
sms_safe_0084,To day class is there are no class.,likely_safe,
sms_phish_0085,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327",suspicious,
sms_safe_0086,Any way where are you and what doing.,likely_safe,
sms_safe_0087,Ok i found dis pierre cardin one which looks normal costs 20 its on sale.,likely_safe,
sms_phish_0088,Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT,suspicious,
